decade,century,trials,deaths,country,lon,lat,record.source
1650,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1700,1700,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1710,1700,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1720,1700,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1730,1700,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1740,1700,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,3,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,11,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1480,1400,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1490,1400,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1500,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1510,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1520,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1530,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,2,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,2,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,2,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,2,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,2,2,Switzerland,8.2319736,46.7985624,Bader (1945)
